name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa bay,2022-08-08,92.6,76.8,81.2,103.3,76.8,84.2,73.6,78.6,0.083,100,25,rain,0,0,20.8,8.2,64.8,1019.2,53.5,9.8,159,13.2,7,100,2022-08-08T06:56:17,2022-08-08T20:14:19,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-09,92.5,75.9,80.3,102.2,75.9,82.3,73.5,80.5,0.686,100,16.67,rain,0,0,31.2,9.8,81.2,1019.7,54.5,9.6,126.2,10.4,9,100,2022-08-09T06:56:49,2022-08-09T20:13:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-10,93.3,76.5,84.5,103.8,76.5,90.8,74.5,73.2,0,0,0,rain,0,0,15.9,9.3,131.2,1020.4,58.6,9.5,219.1,18.5,9,100,2022-08-10T06:57:21,2022-08-10T20:12:40,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-11,88.8,78.9,84,97.2,78.9,90.4,73.2,70.5,0,0,0,,0,0,15.4,7.7,65.9,1019.3,57.7,9.9,142.9,11.9,6,75,2022-08-11T06:57:53,2022-08-11T20:11:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-12,92,78.4,84.2,99.3,78.4,89.1,72.3,68.4,0,0,0,,0,0,14.8,8.2,169.8,1017.5,61.8,9.9,196.2,16.6,8,100,2022-08-12T06:58:25,2022-08-12T20:10:57,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-13,91.6,79.1,84.4,99.1,79.1,89.6,72.5,68.4,0,0,0,,0,0,18.3,9.2,326.9,1016.5,60.5,9.8,225.5,19.5,10,60,2022-08-13T06:58:57,2022-08-13T20:10:04,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-14,85.2,79.7,81.8,92.9,79.7,87.1,73.5,76.3,0.028,100,4.17,rain,0,0,24.2,9.4,322.2,1015.2,69.5,9.8,90,7.6,3,100,2022-08-14T06:59:28,2022-08-14T20:09:10,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-15,86.5,78.4,81.9,95.8,78.4,86.7,73.6,76.4,0.03,100,12.5,rain,0,0,14.5,9.8,176,1013.6,71.7,9.8,171.6,14.8,8,75,2022-08-15T06:59:59,2022-08-15T20:08:15,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-16,91.1,79.8,85,102.9,79.8,92.4,74.4,71.3,0,0,0,rain,0,0,18.3,11.1,256.6,1013.3,56.2,9.9,156.4,13.1,7,100,2022-08-16T07:00:30,2022-08-16T20:07:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-17,91.1,82,85.7,105.4,88.7,95.8,76.2,73.8,0.244,100,12.5,rain,0,0,13.4,9.2,256.6,1014,49.5,9.6,200.7,17,8,100,2022-08-17T07:01:01,2022-08-17T20:06:22,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-18,92.4,78.3,84.7,107.4,78.3,93.5,75.7,75.2,0.006,100,4.17,rain,0,0,25,12.9,271.2,1014.4,52.7,9.9,185.6,16,9,100,2022-08-18T07:01:32,2022-08-18T20:05:25,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-19,91.6,75.9,83.4,104.1,75.9,89.4,74.5,75.5,0,0,0,,0,0,12.5,8.2,210.9,1016.4,52.4,9.9,199,16.8,10,100,2022-08-19T07:02:03,2022-08-19T20:04:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-20,94.7,79.4,84.5,106.4,79.4,90.2,73.9,71.6,0.307,100,20.83,rain,0,0,27.9,11,5.6,1019,53.6,9.6,212.1,18,10,100,2022-08-20T07:02:33,2022-08-20T20:03:27,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-21,93.9,77.9,84.6,105,77.9,90.4,74.7,73.6,0.193,100,8.33,rain,0,0,43.6,7.4,48.7,1018.5,71.1,9.7,206.8,17.8,10,100,2022-08-21T07:03:03,2022-08-21T20:02:27,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-22,92.3,80,85.5,102.1,84.3,93.3,74.6,71,0.166,100,4.17,rain,0,0,12.5,7.6,45.3,1016.1,67.9,9.9,160.1,13.8,9,100,2022-08-22T07:03:33,2022-08-22T20:01:27,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
