,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
98851,59,2018_01_SF_MIN,MIN,SF,50.0,2018-09-09,392.0,3.0,5.0,pass,0.0,1.0,,,,2.0,3.0,-8.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98865,60,2018_01_SF_MIN,MIN,SF,89.0,2018-09-09,109.0,1.0,10.0,pass,0.0,1.0,short,right,,1.0,2.0,-8.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98866,61,2018_01_SF_MIN,MIN,SF,89.0,2018-09-09,105.0,2.0,10.0,pass,0.0,1.0,deep,middle,,1.0,2.0,-8.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
100145,1,2018_02_DET_SF,SF,DET,90.0,2018-09-16,3352.0,1.0,10.0,run,0.0,0.0,,,right,2.0,3.0,0.0,outdoors,grass,SINGLEBACK,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100146,1,2018_02_DET_SF,SF,DET,62.0,2018-09-16,3313.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,0.0,outdoors,grass,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100147,3,2018_02_DET_SF,SF,DET,60.0,2018-09-16,3287.0,2.0,8.0,run,0.0,1.0,,,right,2.0,3.0,0.0,outdoors,grass,EMPTY,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100148,4,2018_02_DET_SF,SF,DET,50.0,2018-09-16,3261.0,1.0,10.0,pass,0.0,0.0,deep,left,,2.0,3.0,0.0,outdoors,grass,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100150,5,2018_02_DET_SF,SF,DET,10.0,2018-09-16,3210.0,1.0,10.0,pass,0.0,1.0,,,,2.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100151,6,2018_02_DET_SF,SF,DET,18.0,2018-09-16,3165.0,2.0,18.0,pass,0.0,1.0,,,,2.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100152,7,2018_02_DET_SF,SF,DET,27.0,2018-09-16,3122.0,3.0,27.0,run,0.0,1.0,,,middle,2.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"1 DL, 4 LB, 6 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100164,8,2018_02_DET_SF,SF,DET,88.0,2018-09-16,2859.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,-4.0,outdoors,grass,SINGLEBACK,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100165,9,2018_02_DET_SF,SF,DET,79.0,2018-09-16,2839.0,2.0,1.0,pass,0.0,1.0,short,left,,2.0,3.0,-4.0,outdoors,grass,EMPTY,"2 RB, 1 TE, 2 WR",7.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100166,10,2018_02_DET_SF,SF,DET,75.0,2018-09-16,2810.0,1.0,10.0,pass,0.0,0.0,short,middle,,2.0,3.0,-4.0,outdoors,grass,SINGLEBACK,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100167,11,2018_02_DET_SF,SF,DET,75.0,2018-09-16,2807.0,2.0,10.0,pass,0.0,1.0,short,right,,2.0,3.0,-4.0,outdoors,grass,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100168,12,2018_02_DET_SF,SF,DET,66.0,2018-09-16,2785.0,3.0,1.0,run,1.0,0.0,,,middle,2.0,3.0,-4.0,outdoors,grass,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100169,13,2018_02_DET_SF,SF,DET,60.0,2018-09-16,2760.0,1.0,10.0,pass,1.0,1.0,short,left,,2.0,3.0,-4.0,outdoors,grass,EMPTY,"2 RB, 1 TE, 2 WR",7.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
100171,14,2018_02_DET_SF,SF,DET,49.0,2018-09-16,2719.0,1.0,15.0,run,0.0,1.0,,,right,2.0,3.0,-4.0,outdoors,grass,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 73° F, Wind: NW 12 mph"
